Иван, Иванов, Иванова
Георги, Георгиев, Георгиева
Димитър, Димитров, Димитрова
Петър, Петров, Петрова
Никола, Николов, Николова
Христо, Христов, Христова
Стоян, Стоянов, Стоянова
Тодор, Тодоров, Тодорова
Илия, Илиев, Илиева
Васил, Василев, Василева
Атанас, Атанасов, Атанасова
Петко, Петков, Петкова
Ангел, Ангелов, Ангелова
Кольо, Колев, Колева
Йордан, Йорданов, Йорданова
Марин, Маринов, Маринова
Стефан, Стефанов, Стефанова
Михаил, Михайлов, Михайлова
Кръстьо, Кръстев, Кръстева
Коста, Костов, Костова
Димо, Димов, Димова
Павел, Павлов, Павлова
Костадин, Костадинов, Костадинова
Митко, Митев, Митева
Симеон, Симеонов, Симеонова
Цвятко, Цветков, Цветкова
Александър, Александров, Александрова
Марко, Марков, Маркова
Спас, Спасов, Спасова
Лазар, Лазаров, Лазарова
Добри, Добрев, Добрева
Андрей, Андреев, Андреева
Младен, Младенов, Младенова
Руси, Русев, Русева
Вълчо, Вълчев, Вълчева
Радо, Радев, Радева
Яне, Янев, Янева
Найден, Найденов, Найденова
Пеньо, Пенев, Пенева
Янко, Янков, Янкова
Станчо, Станчев, Станчева
Стойчо, Стойчев, Стойчева
Слави, Славов, Славова
Григор, Григоров, Григорова
Киро, Киров, Кирова
Алекси, Алексиев, Алексиева
Станьо, Станев, Станева
Стойко, Стойков, Стойкова
Борис, Борисов, Борисова
Николай, Николаев, Николаева
Кирил, Кирилов, Кирилова
Красимир, Красимиров, Красимирова
Пламен, Пламенов, Пламенова
Валентин, Валентинов, Валентинова
Румен, Руменов, Руменова
Емил, Емилов, Емилова
Любомир, Любомиров, Любомирова
Владимир, Владимиров, Владимирова
Цветан, Цветанов, Цветанова
Веселин, Веселинов, Веселинова
Асен, Асенов, Асенова
Любен, Любенов, Любенова
Борислав, Бориславов, Бориславова
Антон, Антонов, Антонова
Славчо, Славчов, Славчова
Венцислав, Венциславов, Венциславова
Валери, Валериев, Валериева
Методи, Методиев, Методиева
Божидар, Божидаров, Божидарова
Здравко, Здравков, Здравкова
Константин, Константинов, Константинова
Боян, Боянов, Боянова
Огнян, Огнянов, Огнянова
Живко, Живков, Живкова
